N-PSA,VNS1,VNS10,VNS30,B&BA,BN-PSA,BVNS30
979,966,954,954,999,979,954
998,998,998,998,1343,1023,998
706,706,706,706,735,706,706
1042,1042,1042,1042,1093,1042,1042
527,527,527,527,527,527,527
867,841,836,836,975,867,836
593,593,593,593,600,593,593
723,718,718,718,719,718,718
537,537,537,537,537,537,537
663,660,660,660,780,660,660
4179,4073,4073,4073,4196,4105,4073
4598,4598,4598,4598,4734,4634,4598
4521,4509,4506,4506,4861,4509,4506
3466,3451,3451,3451,3686,3466,3451
4765,4754,4751,4751,4841,4778,4751
4634,4545,4541,4541,4729,4541,4541
4194,4217,4194,4194,4505,4194,4194
4266,4255,4252,4252,4465,4255,4252
4364,4313,4313,4313,4503,4335,4313
4820,4772,4772,4772,5021,4772,4772
11876,11824,11824,11824,11898,11876,11824
12309,12074,12074,12074,12314,12471,12074
11545,11481,11481,11481,11726,11490,11481
10598,10536,10536,10536,10536,10610,10536
11357,11355,11355,11355,11508,11355,11355
11811,11739,11739,11739,11862,11800,11739
12615,12599,12599,12596,12741,12692,12596
11187,11084,11041,11041,11380,11260,11041
12787,12567,12567,12567,12696,12902,12567
11011,10864,10864,10864,11174,10960,10864
621,613,613,613,671,613,613
684,684,684,684,711,684,684
840,840,840,840,840,840,840
592,592,592,592,592,592,592
1013,1013,1013,1013,1115,1019,1013
534,534,534,534,534,534,534
694,694,694,694,817,694,694
672,672,672,672,733,672,672
653,653,653,653,730,653,653
715,715,715,715,983,715,715
4259,4221,4221,4221,4241,4330,4221
4134,4134,4134,4134,4235,4237,4134
4394,4383,4383,4383,4647,4396,4383
4158,4158,4158,4158,4329,4158,4158
4629,4629,4629,4629,4726,4629,4629
4406,4286,4286,4286,4473,4357,4286
4834,4738,4738,4735,5041,4738,4735
4182,4178,4178,4178,4231,4182,4178
4591,4523,4523,4523,4933,4595,4523
3933,3933,3933,3933,4303,3933,3933
12161,12000,11964,11978,12357,12125,11964
11005,11005,11004,11004,11004,11005,11004
11380,11058,11058,11058,11705,11185,11079
12513,12296,12279,12279,12571,12309,12279
12719,12591,12545,12545,12601,12599,12545
11101,11057,11057,11057,11280,11100,11057
10970,10952,10938,10938,11112,10962,10938
10894,10842,10822,10816,11116,10873,10816
10221,10088,10072,10072,10395,10150,10072
11174,11141,11123,11123,11319,11170,11123
972,997,972,972,1327,997,972
810,810,810,810,821,810,810
789,789,789,789,804,789,789
775,775,775,775,960,775,775
804,804,804,804,874,804,804
769,769,769,769,972,769,769
784,784,784,784,848,784,784
991,991,991,991,1391,991,991
579,576,576,576,599,576,576
572,572,572,572,666,578,572
4199,4098,4098,4098,4525,4185,4098
4322,4320,4320,4320,4877,4449,4320
4868,4868,4868,4868,5069,4868,4868
4092,4071,4071,4071,4240,4092,4071
4320,4255,4273,4255,4668,4316,4255
4627,4627,4627,4627,4654,4650,4627
4760,4760,4760,4760,4972,4760,4760
4625,4625,4625,4625,4893,4625,4625
5210,5167,5150,5150,5357,5196,5150
4572,4572,4571,4571,4816,4578,4571
11494,11492,11492,11492,11579,11494,11492
12432,12363,12363,12363,12692,12399,12363
10921,10848,10847,10847,11545,10848,10847
13125,12886,12886,12886,13218,12938,12886
11788,11808,11763,11761,12114,11900,11761
12510,12398,12403,12369,13130,12466,12352
13852,13723,13649,13641,13956,13855,13641
12952,12869,12874,12869,13187,12881,12869
12162,12089,12089,12085,12496,12213,12089
12558,12409,12409,12409,12981,12715,12409
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1685,1685,1674,1674,2074,1685,1674
1408,1408,1408,1408,2005,1462,1408
1552,1552,1552,1552,1992,1552,1552
1259,1212,1212,1212,1502,1212,1212
785,785,785,785,882,785,785
2019,1982,1982,1982,2700,1982,1982
1461,1461,1461,1461,2178,1568,1461
4114,4098,4006,4006,4810,4006,4006
3541,3540,3540,3540,4100,3540,3540
2340,2338,2338,2338,3471,2340,2338
8658,8643,8626,8626,8824,8753,8626
12280,12116,12116,12116,12376,12134,12101
7518,7518,7518,7518,7980,7518,7518
9784,9761,9761,9761,10010,9775,9761
9946,9882,9882,9882,10155,9947,9882
13314,13266,13266,13266,13390,13276,13266
7562,7545,7545,7545,7870,7729,7545
7545,7568,7545,7545,7732,7767,7545
7779,7745,7743,7745,8059,7779,7743
11287,11014,11013,11013,11537,11244,11013
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
42,42,42,42,94,42,42
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2739,2739,2739,2739,3436,2777,2739
1504,1504,1504,1504,1875,1504,1504
3374,3353,3353,3353,3841,3353,3353
2832,2832,2832,2832,3323,2832,2832
1902,1811,1811,1811,1904,1874,1811
1641,1603,1603,1603,2654,1603,1603
989,989,989,989,1422,989,989
1069,1069,1069,1069,1443,1069,1069
1320,1320,1320,1320,1615,1322,1320
1161,1145,1145,1145,1253,1161,1145
8697,8471,8469,8469,8596,8670,8469
9201,9038,9038,9038,10003,9093,9038
10408,10400,10397,10397,10625,10415,10397
10257,10276,10257,10257,10616,10290,10257
11845,11829,11829,11829,11953,11845,11829
11328,11239,11239,11239,11610,11240,11239
7877,7782,7782,7782,8318,7785,7782
5985,5966,5966,5966,6724,5974,5966
9896,9808,9808,9808,9835,9929,9808
8428,8419,8419,8419,8681,8441,8419
28,28,28,28,30,28,28
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
132,132,132,132,186,132,132
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1888,1888,1888,1888,2934,2020,1888
1267,1267,1267,1267,1551,1267,1267
1318,1241,1241,1241,1963,1241,1241
4714,4688,4647,4647,5109,4688,4647
1066,1066,1066,1066,1418,1066,1066
1450,1450,1450,1450,2257,1450,1450
2093,2093,2093,2093,2757,2093,2093
2704,2704,2704,2704,3601,2707,2704
1477,1475,1475,1475,1795,1475,1475
1689,1684,1684,1684,2125,1689,1684
9217,9084,9064,9059,9676,9229,9064
9578,9515,9515,9515,9519,9624,9515
14322,14450,14315,14315,14484,14502,14315
12582,12552,12508,12508,12607,12538,12510
8832,8792,8792,8792,9393,8796,8792
6876,6853,6840,6840,6968,6937,6840
6957,6778,6778,6778,6894,6790,6778
13328,13184,13179,13156,13303,13282,13156
7864,7869,7864,7864,8226,7904,7864
9989,9968,9968,9968,10222,10216,9968
0,0,0,0,0,0,0
263,254,254,254,363,263,254
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
483,483,483,483,761,483,483
113,113,113,113,205,113,113
3491,3525,3525,3525,3947,3491,3525
4232,4185,4185,4185,4243,4235,4185
428,428,428,428,428,428,428
18,18,18,18,47,18,18
16,16,16,16,50,16,16
0,0,0,0,0,0,0
3688,3688,3682,3674,3973,3836,3674
0,0,0,0,0,0,0
7745,7745,7745,7745,7871,7745,7745
10102,10088,10088,10088,10589,10088,10088
14057,14057,14057,14057,14259,14176,14057
11857,11857,11857,11857,11872,11866,11853
9363,9357,9357,9357,9394,9433,9357
10760,10744,10742,10737,10822,10809,10737
4186,3940,3905,3905,4703,3949,3905
15126,14941,14941,14941,15172,15105,14941
4106,4082,4082,4082,4141,4131,4082
14430,14433,14410,14410,14498,14437,14410
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1569,1499,1482,1482,2717,1606,1482
337,315,315,315,428,315,315
702,702,702,702,702,702,702
1003,1002,1002,1002,1530,1002,1002
1232,1232,1232,1232,1577,1232,1232
0,0,0,0,0,0,0
55,55,55,55,55,55,55
738,738,734,734,880,744,734
781,781,781,781,1004,781,781
0,0,0,0,0,0,0
8188,8134,8120,8120,8120,8175,8120
6717,6717,6695,6695,6717,6763,6695
10920,10871,10871,10871,11376,10977,10871
14702,14676,14676,14676,14882,14735,14676
9112,9075,9007,9007,9158,9007,9007
