Problem1,6,5,,,,,,,,,,,,
1,23,69,32,70,91,79,,,,,,,,
 ,16,44,0,37,23,5,217,,,,,,,
2,30,60,57,66,82,65,,,,,,,,
 ,6,46,43,31,37,2,309,,,,,,,
3,66,36,99,5,30,23,,,,,,,,
 ,16,49,25,25,2,41,307,,,,,,,
4,52,9,51,89,77,65,,,,,,,,
 ,42,30,33,30,35,30,214,,,,,,,
5,69,26,51,69,17,13,,,,,,,,
 ,36,44,32,0,14,15,343,,,,,,,
6,34,53,15,48,87,67,,,,,,,,
 ,21,39,14,23,22,14,391,,,,,,,
Problem2,6,5,,,,,,,,,,,,
1,13,17,30,87,43,62,,,,,,,,
 ,4,2,16,1,32,17,332,,,,,,,
2,44,9,59,64,56,51,,,,,,,,
 ,19,27,14,5,17,13,163,,,,,,,
3,82,23,98,66,93,94,,,,,,,,
 ,5,6,24,16,38,46,370,,,,,,,
4,57,89,44,35,88,75,,,,,,,,
 ,2,3,43,10,18,42,217,,,,,,,
5,0,41,70,98,3,7,,,,,,,,
 ,17,48,19,6,41,23,393,,,,,,,
6,31,73,34,55,1,39,,,,,,,,
 ,43,39,14,24,29,23,358,,,,,,,
Problem3,6,5,,,,,,,,,,,,
1,77,25,49,94,45,1,,,,,,,,
 ,24,16,42,15,14,23,168,,,,,,,
2,66,43,38,26,26,64,,,,,,,,
 ,12,8,20,47,39,50,229,,,,,,,
3,95,61,99,89,17,83,,,,,,,,
 ,50,47,1,48,48,41,398,,,,,,,
4,67,57,38,60,97,67,,,,,,,,
 ,19,29,37,3,29,36,193,,,,,,,
5,31,97,20,30,60,56,,,,,,,,
 ,2,3,4,27,15,15,339,,,,,,,
6,70,0,18,6,33,19,,,,,,,,
 ,0,25,2,42,28,14,280,,,,,,,
Problem4,6,5,,,,,,,,,,,,
1,56,14,66,68,51,88,,,,,,,,
 ,35,40,9,48,28,44,352,,,,,,,
2,91,5,16,74,85,39,,,,,,,,
 ,37,27,4,21,22,2,501,,,,,,,
3,35,23,95,73,4,93,,,,,,,,
 ,37,12,19,47,48,50,409,,,,,,,
4,39,2,16,28,39,61,,,,,,,,
 ,9,33,49,13,50,50,326,,,,,,,
5,52,18,86,3,84,94,,,,,,,,
 ,48,38,37,32,43,2,242,,,,,,,
6,97,34,81,41,25,40,,,,,,,,
 ,29,7,0,4,2,33,501,,,,,,,
Problem5,6,5,,,,,,,,,,,,
1,28,49,59,26,75,53,,,,,,,,
 ,27,18,17,29,40,1,210,,,,,,,
2,39,95,13,56,75,63,,,,,,,,
 ,39,6,20,10,17,1,430,,,,,,,
3,93,29,16,26,66,18,,,,,,,,
 ,41,23,2,43,43,6,378,,,,,,,
4,43,41,90,82,46,34,,,,,,,,
 ,22,41,28,27,43,47,188,,,,,,,
5,72,1,31,73,39,26,,,,,,,,
 ,4,25,36,21,10,18,419,,,,,,,
6,34,92,0,90,93,52,,,,,,,,
 ,27,4,34,8,42,40,355,,,,,,,
Problem6,6,5,,,,,,,,,,,,
1,45,19,20,75,71,74,,,,,,,,
 ,29,0,26,46,2,50,493,,,,,,,
2,32,44,40,11,55,85,,,,,,,,
 ,20,7,15,28,47,6,489,,,,,,,
3,8,14,65,58,31,8,,,,,,,,
